State,count
Texas,2095
California,1512
Ohio,1467
Pennsylvania,1287
Florida,1262
Georgia,1204
North Carolina,1147
New York,1114
Virginia,1107
Indiana,1038
Michigan,905
Illinois,823
Tennessee,768
Wisconsin,689
New Jersey,685
Missouri,684
Minnesota,673
Louisiana,647
Colorado,604
Alabama,587
Washington,561
Kentucky,546
Oregon,521
South Carolina,516
Oklahoma,457
Maryland,423
Iowa,414
Mississippi,405
Arkansas,395
Massachusetts,391
Kansas,354
New Mexico,306
Arizona,305
West Virginia,227
Connecticut,212
Idaho,198
Utah,194
New Hampshire,191
Montana,177
Nebraska,165
Wyoming,163
Nevada,153
Maine,120
South Dakota,120
Hawaii,118
Rhode Island,97
North Dakota,94
Vermont,61
Alaska,55
District of Columbia,47
Delaware,42
